codigo,nombre,codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,tipo_unidad,piso,estado_construccion,nombre_tipologia,total_habitaciones,total_banos,area_libre,area_techada,area_total,estado_comercial,estado_personalizado,codigo_proforma,precio_lista,precio_base_proforma,descuento_venta,precio_venta,precio_m2,fecha_reserva,fecha_separacion,fecha_venta,fecha_entrega,fecha_inicio_independizacion,fecha_fin_independizacion,modalidad_contrato,codigo_externo,fecha_precio_actualizado,moneda_precio_lista,moneda_venta,vcto_garantia_estructural,vcto_garantia_acabados,vcto_garantia_comercial,id,padre_id,fecha_actualizacion,fecha_estimada_entrega,partida_independizacion
LUM-102,102,LUM,Lumière7,,,town house,1,En curso,Tipo 6B,3.00,3,30.00,131.99,161.99,vendido,,2022-00742,393041.00,393041.00,0.00,393041.00,2426.33,,2022-03-25,2022-04-24,,,,Compromiso,,,USD,USD,,,,2,,2022-06-03,,0
LUM-104,104,LUM,Lumière7,,,town house,1,En curso,Tipo 6D,3.00,3,30.71,131.39,162.10,vendido,,2022-00744,392386.00,392386.00,11000.00,381386.00,2420.64,,2022-03-15,2022-06-10,,,,Compromiso,,,USD,USD,,,,4,,2022-06-14,,0
LUM-201,201,LUM,Lumière7,,,departamento flat,2,En curso,Tipo 7,1.00,2,0.00,80.11,80.11,vendido,,2021-00014,193082.00,193082.00,0.00,193082.00,2410.21,,2020-08-27,2021-03-16,,,,Compromiso,,,USD,USD,,,,5,,2022-06-03,,0
LUM-301,301,LUM,Lumière7,,,departamento flat,3,En curso,Tipo 2B,3.00,3,0.00,128.38,128.38,vendido,,2022-00745,345701.00,345701.00,3701.00,342000.00,2692.79,,2022-03-16,2022-03-25,,,,Compromiso,,,USD,USD,,,,7,,2022-06-03,,0
LUM-303,303,LUM,Lumière7,,,departamento flat,3,En curso,Tipo 5,2.00,2,0.00,93.04,93.04,vendido,,2021-00015,232642.54,232642.54,0.00,232642.54,2500.46,,2020-08-08,2020-11-01,,,,Compromiso,,,USD,USD,,,,9,,2022-06-03,,0
LUM-304,304,LUM,Lumière7,,,departamento flat,3,En curso,Tipo 2A,3.00,3,0.00,128.38,128.38,vendido,,2022-01323,345701.00,345701.00,11701.00,334000.00,2692.79,,2022-07-23,2022-08-05,,,,Compromiso,,,USD,USD,,,,10,,2022-08-05,,0
LUM-402,402,LUM,Lumière7,,,departamento flat,4,En curso,Tipo 5,2.00,2,0.00,93.04,93.04,vendido,,2021-00009,288424.00,288424.00,0.00,288424.00,3100.00,,2021-02-19,2021-02-19,,,,Compromiso,,,USD,USD,,,,15,,2022-06-03,,0
LUM-403,403,LUM,Lumière7,,,departamento flat,4,En curso,Tipo 2A,3.00,3,0.00,128.38,128.38,vendido,,2021-00017,338923.00,338923.00,0.00,338923.00,2640.00,,2021-03-22,2021-04-09,,,,Compromiso,,,USD,USD,,,,16,,2022-06-03,,0
LUM-501,501,LUM,Lumière7,,,departamento flat,5,En curso,Tipo 2B,3.00,3,0.00,128.38,128.38,vendido,,2021-00018,341490.00,341490.00,0.00,341490.00,2659.99,,2021-04-07,2021-05-12,,,,Compromiso,,,USD,USD,,,,18,,2022-06-03,,0
LUM-502,502,LUM,Lumière7,,,departamento flat,5,En curso,Tipo 1A,3.00,3,0.00,140.24,140.24,vendido,,2021-00019,354957.05,354957.05,0.00,354957.05,2531.07,,2020-08-19,2020-11-01,,,,Compromiso,,,USD,USD,,,,19,,2022-06-03,,0
LUM-505,505,LUM,Lumière7,,,departamento flat,5,En curso,Tipo 4A,2.00,2,0.00,96.05,96.05,vendido,,2022-01793,261257.00,261257.00,6257.00,255000.00,2720.01,,2022-06-08,2022-10-28,,,,Compromiso,,,USD,USD,,,,22,,2022-10-28,,0
LUM-506,506,LUM,Lumière7,,,loft dúplex,5,En curso,Tipo 3B,1.00,1,13.97,70.24,84.21,vendido,,2021-00021,214874.00,214874.00,0.00,214874.00,2551.64,,2020-12-05,2020-12-01,,,,Compromiso,,,USD,USD,,,,23,,2022-06-03,,0
LUM-601,601,LUM,Lumière7,,,departamento flat,6,En curso,Tipo 2B,3.00,3,0.00,128.38,128.38,vendido,,2021-00022,327682.49,327682.49,0.00,327682.49,2552.44,,2020-10-16,2020-10-01,,,,Compromiso,,,USD,USD,,,,24,,2022-06-03,,0
LUM-602,602,LUM,Lumière7,,,departamento flat,6,En curso,Tipo 1A,3.00,3,0.00,140.24,140.24,vendido,,2021-00023,371582.10,371582.10,0.00,371582.10,2649.62,,2020-08-31,2020-11-01,,,,Compromiso,,,USD,USD,,,,25,,2022-06-03,,0
LUM-604,604,LUM,Lumière7,,,departamento flat,6,En curso,Tipo 4B,2.00,2,0.00,96.05,96.05,vendido,,2021-00013,251134.00,251134.00,0.00,251134.00,2614.62,,2021-09-07,2021-10-04,,,,Compromiso,,,USD,USD,,,,27,,2022-06-03,,0
LUM-701,701,LUM,Lumière7,,,departamento flat,7,En curso,Tipo 2B,3.00,3,0.00,128.38,128.38,vendido,,2021-00025,329622.49,329622.49,0.00,329622.49,2567.55,,2020-10-14,2020-10-01,,,,Compromiso,,,USD,USD,,,,28,,2022-06-03,,0
LUM-702,702,LUM,Lumière7,,,departamento flat,7,En curso,Tipo 1A,3.00,3,0.00,140.24,140.24,vendido,,2021-00010,349037.24,349037.24,0.00,349037.24,2488.86,,2020-08-06,2020-08-01,,,,Compromiso,,,USD,USD,,,,29,,2022-06-03,,0
LUM-706,706,LUM,Lumière7,,,loft dúplex,7,En curso,Tipo 3B,1.00,1,13.97,70.24,84.21,vendido,,2022-01095,218874.00,218874.00,2874.00,216000.00,2599.14,,2022-04-13,2022-04-29,,,,Compromiso,,,USD,USD,,,,33,,2022-06-20,,0
LUM-802,802,LUM,Lumière7,,,departamento flat,8,En curso,Tipo 1A,3.00,3,0.00,140.24,140.24,vendido,,2021-00050,350600.00,350600.00,0.00,350600.00,2500.00,,2020-08-01,2020-08-01,,,,Compromiso,,,USD,USD,,,,35,,2022-06-03,,0
LUM-804,804,LUM,Lumière7,,,departamento flat,8,En curso,Tipo 4B,2.00,2,0.00,96.05,96.05,vendido,,2022-00737,264755.00,264755.00,0.00,264755.00,2756.43,,2022-03-31,2022-04-29,,,,Compromiso,,,USD,USD,,,,37,,2022-06-03,,0
LUM-901,901,LUM,Lumière7,,,penthouse,9,En curso,Tipo 9B,3.00,4,50.50,143.49,193.99,vendido,,2021-00030,429201.45,429201.45,0.00,429201.45,2212.49,,2020-09-07,2021-02-25,,,,Compromiso,,,USD,USD,,,,38,,2022-06-03,,0
